Crop_Type,Soil_Type,Pesticide_Use_Category,Estimated_Insects_Count,Number_Doses_Week,Number_Weeks_Used,Number_Weeks_Quit,Season,Crop_Damage
Rabi,Black-Cotton,Herbicides,531,15,14,13,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,1785,5,25,0,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,2015,10,23,20,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1678,40,32,13,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,531,15,28,2,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,1785,5,33,14,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,1212,30,32,3,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2138,25,42,3,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,789,15,19,17,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,851,20,13,24,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1678,20,38,11,Summer,Minimal Damage
Rabi,Alluvial,Bactericides,2688,10,57,0,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1898,5,10,36,Monsoon,Minimal Damage
Rabi,Alluvial,Bactericides,577,10,38,0,Monsoon,Minimal Damage
Rabi,Alluvial,Bactericides,531,15,25,0,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,1212,20,27,7,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,2541,20,29,22,Winter,Minimal Damage
Kharif,Alluvial,Herbicides,2015,20,34,12,Summer,Minimal Damage
Kharif,Black-Cotton,Bactericides,283,20,27,0,Summer,Minimal Damage
Kharif,Black-Cotton,Bactericides,448,15,27,0,Winter,Minimal Damage
Rabi,Black-Cotton,Bactericides,312,5,25,0,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,916,60,29,16,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,984,60,22,15,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,1478,60,45,0,Summer,Minimal Damage
Rabi,Black-Cotton,Bactericides,232,5,25,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1576,35,28,13,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,790,15,14,22,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2016,15,50,2,Winter,Minimal Damage
Rabi,Alluvial,Herbicides,915,10,16,12,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,3164,10,16,34,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,851,70,15,13,Summer,Minimal Damage
Rabi,Alluvial,Bactericides,3164,20,52,0,Winter,Minimal Damage
Kharif,Black-Cotton,Bactericides,3337,10,46,0,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,488,5,21,4,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,209,10,19,5,Monsoon,Minimal Damage
Kharif,Black-Cotton,Bactericides,2840,5,30,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2999,20,32,18,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,3165,20,58,1,Monsoon,Minimal Damage
Kharif,Alluvial,Bactericides,2015,5,15,0,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,2267,5,30,19,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,3516,10,49,7,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,1056,10,35,2,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2139,20,48,6,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,488,25,20,1,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,732,60,24,10,Monsoon,Minimal Damage
Kharif,Alluvial,Bactericides,2267,10,52,0,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,984,20,15,6,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,577,40,25,11,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,410,40,23,7,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,1132,20,8,20,Winter,Minimal Damage
Rabi,Black-Cotton,Bactericides,1678,5,46,0,Winter,Minimal Damage
Kharif,Alluvial,Bactericides,2542,15,50,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Bactericides,1785,30,55,0,Monsoon,Minimal Damage
Kharif,Alluvial,Bactericides,1785,10,32,0,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,1385,40,35,8,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,2267,50,44,4,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1132,40,41,5,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,1898,10,28,22,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,1576,20,42,1,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,577,90,33,2,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,2542,40,39,21,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,677,25,29,4,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,342,40,22,5,Summer,Minimal Damage
Kharif,Black-Cotton,Bactericides,2688,20,20,0,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,984,20,30,9,Winter,Minimal Damage
Kharif,Alluvial,Bactericides,577,10,39,0,Summer,Minimal Damage
Rabi,Alluvial,Bactericides,2401,50,45,0,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,2016,15,45,0,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,410,10,13,3,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1212,40,45,2,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,1785,40,32,18,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,2840,30,48,0,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,790,20,32,8,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1785,30,25,19,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,915,50,24,13,Winter,Minimal Damage
Kharif,Alluvial,Herbicides,312,20,20,4,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,1385,40,35,17,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,411,30,24,6,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,411,30,23,4,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,1786,20,46,1,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,984,40,32,4,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,1385,10,39,4,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,1296,15,27,4,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,2138,10,23,23,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,1678,10,12,30,Summer,Minimal Damage
Kharif,Alluvial,Bactericides,2139,30,40,0,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,2016,30,36,11,Monsoon,Minimal Damage
Rabi,Black-Cotton,Bactericides,577,40,39,0,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,342,15,17,4,Monsoon,Minimal Damage
Kharif,Alluvial,Bactericides,2138,20,21,0,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,1576,5,6,23,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,3164,20,33,25,Winter,Minimal Damage
Rabi,Alluvial,Herbicides,2688,40,40,3,Winter,Minimal Damage
Rabi,Alluvial,Herbicides,1132,20,24,24,Monsoon,Minimal Damage
Kharif,Alluvial,Bactericides,3515,40,46,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,984,10,19,17,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1678,65,35,11,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,1056,25,34,7,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,168,50,13,3,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,531,30,14,16,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1132,10,33,3,Monsoon,Minimal Damage
Rabi,Black-Cotton,Bactericides,1576,25,48,0,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,531,20,23,1,Winter,Minimal Damage
Kharif,Black-Cotton,Bactericides,1575,40,43,0,Summer,Minimal Damage
Kharif,Alluvial,Bactericides,1478,25,38,0,Summer,Minimal Damage
Kharif,Black-Cotton,Bactericides,3895,25,54,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,850,20,23,11,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,2016,80,30,13,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,488,10,29,0,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,531,30,10,6,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,916,30,31,8,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2016,20,33,10,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,732,30,15,19,Monsoon,Minimal Damage
Kharif,Alluvial,Bactericides,732,10,38,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,984,60,20,18,Winter,Minimal Damage
Kharif,Black-Cotton,Bactericides,531,10,5,0,Monsoon,Minimal Damage
Kharif,Black-Cotton,Bactericides,732,25,27,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Bactericides,2541,5,60,0,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,1385,5,18,26,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,984,30,14,25,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1898,30,49,2,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,2542,20,42,15,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,677,20,20,10,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,410,65,25,6,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,577,20,13,11,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,1575,40,22,21,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,789,25,20,19,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1212,60,35,9,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1212,80,36,5,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,2138,30,5,18,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,1478,20,24,18,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2999,30,50,14,Winter,Minimal Damage
Kharif,Alluvial,Herbicides,2267,5,12,24,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,984,10,19,21,Monsoon,Minimal Damage
Kharif,Black-Cotton,Bactericides,209,5,18,0,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,1212,25,36,3,Winter,Minimal Damage
Kharif,Alluvial,Herbicides,1212,25,25,20,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1056,15,15,21,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,4097,15,33,25,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,577,30,23,13,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,851,20,21,17,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,2999,40,44,5,Summer,Minimal Damage
Kharif,Black-Cotton,Bactericides,311,30,29,0,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,2267,20,8,37,Winter,Minimal Damage
Rabi,Alluvial,Bactericides,531,50,36,0,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,410,15,20,2,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,984,45,31,10,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,3337,10,41,14,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,625,50,11,20,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,851,20,13,10,Winter,Minimal Damage
Kharif,Alluvial,Herbicides,2840,5,36,7,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,677,15,17,15,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,915,15,13,24,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,1678,20,9,34,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,168,20,14,3,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,2138,40,38,15,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,2267,50,48,5,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1785,30,41,4,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,1296,40,35,4,Winter,Minimal Damage
Kharif,Alluvial,Bactericides,342,30,24,0,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,2688,5,40,37,Winter,Minimal Damage
Rabi,Alluvial,Bactericides,1786,25,52,0,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,1296,30,10,28,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,232,10,15,7,Summer,Minimal Damage
Kharif,Alluvial,Bactericides,851,30,43,0,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,1296,15,25,15,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,1786,10,45,5,Summer,Minimal Damage
Rabi,Black-Cotton,Bactericides,1898,15,44,0,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,789,15,28,8,Winter,Minimal Damage
Kharif,Alluvial,Herbicides,1385,10,33,11,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,984,60,15,8,Monsoon,Minimal Damage
Kharif,Alluvial,Bactericides,3337,30,40,0,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,1296,20,37,9,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1898,20,30,14,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,2401,25,23,21,Summer,Minimal Damage
Rabi,Black-Cotton,Bactericides,209,40,24,0,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,577,20,14,14,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,789,20,23,16,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,312,10,19,7,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,531,40,21,11,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,984,40,32,6,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,790,20,22,17,Winter,Minimal Damage
Kharif,Black-Cotton,Bactericides,732,60,36,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Bactericides,984,45,34,0,Winter,Minimal Damage
Kharif,Alluvial,Herbicides,1297,20,41,8,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1212,20,25,20,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,577,40,14,17,Summer,Minimal Damage
Kharif,Alluvial,Bactericides,984,25,18,0,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,2138,20,48,6,Monsoon,Minimal Damage
Rabi,Alluvial,Bactericides,915,5,10,0,Monsoon,Minimal Damage
Kharif,Alluvial,Bactericides,2267,20,18,0,Monsoon,Minimal Damage
Kharif,Alluvial,Bactericides,1678,10,43,0,Summer,Minimal Damage
Kharif,Black-Cotton,Bactericides,1898,25,44,0,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,915,30,39,2,Winter,Minimal Damage
Kharif,Black-Cotton,Bactericides,850,25,34,0,Monsoon,Minimal Damage
Rabi,Alluvial,Bactericides,1056,5,18,0,Monsoon,Minimal Damage
Kharif,Alluvial,Bactericides,232,25,18,0,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,984,30,23,8,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,731,40,23,12,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1678,10,8,12,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1385,20,28,15,Winter,Minimal Damage
Rabi,Alluvial,Herbicides,1678,20,28,28,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1296,20,12,10,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,489,30,22,6,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,3165,20,24,15,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,3164,20,36,22,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,488,20,19,12,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1212,30,43,1,Winter,Minimal Damage
Rabi,Alluvial,Herbicides,1056,10,13,26,Summer,Minimal Damage
Rabi,Black-Cotton,Bactericides,1678,15,34,0,Summer,Minimal Damage
Rabi,Alluvial,Bactericides,2688,5,54,0,Summer,Minimal Damage
Kharif,Alluvial,Bactericides,3337,20,30,0,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,342,40,16,11,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1576,20,18,31,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,1132,10,23,1,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1212,50,13,24,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,342,20,19,8,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,410,20,20,1,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,1056,10,19,15,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,2688,20,36,15,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2402,20,40,16,Winter,Minimal Damage
Rabi,Alluvial,Herbicides,448,45,25,5,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1385,40,45,0,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,531,30,15,3,Winter,Minimal Damage
Kharif,Alluvial,Herbicides,677,15,16,2,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1297,60,40,3,Summer,Minimal Damage
Rabi,Black-Cotton,Bactericides,984,25,42,0,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,2139,15,18,20,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,2015,20,23,1,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,850,5,20,8,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1296,20,27,18,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,851,15,18,14,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1678,30,40,3,Monsoon,Minimal Damage
Kharif,Alluvial,Bactericides,531,15,35,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1212,20,27,15,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,577,15,12,19,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1212,20,6,19,Summer,Minimal Damage
Kharif,Black-Cotton,Bactericides,209,30,26,0,Monsoon,Minimal Damage
Kharif,Black-Cotton,Bactericides,984,30,31,0,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,2267,20,50,4,Monsoon,Minimal Damage
Rabi,Black-Cotton,Bactericides,625,45,31,0,Summer,Minimal Damage
Rabi,Black-Cotton,Bactericides,2138,10,20,0,Winter,Minimal Damage
Rabi,Alluvial,Bactericides,2688,15,45,0,Winter,Minimal Damage
Rabi,Alluvial,Herbicides,1385,40,20,15,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1576,20,33,12,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1297,20,10,28,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,850,30,22,24,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1385,50,42,2,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,731,10,18,16,Monsoon,Minimal Damage
Kharif,Alluvial,Bactericides,3164,25,55,0,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1212,40,40,1,Summer,Minimal Damage
Kharif,Black-Cotton,Bactericides,1212,30,36,0,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,375,30,25,1,Summer,Minimal Damage
Rabi,Black-Cotton,Bactericides,850,25,34,0,Winter,Minimal Damage
Rabi,Alluvial,Herbicides,531,10,22,14,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,789,20,29,9,Winter,Minimal Damage
Kharif,Black-Cotton,Bactericides,732,60,30,0,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,150,20,10,4,Monsoon,Minimal Damage
Kharif,Black-Cotton,Bactericides,2267,20,36,0,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1898,20,49,1,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,789,40,27,9,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,984,80,30,14,Winter,Minimal Damage
Kharif,Alluvial,Herbicides,1132,20,22,6,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1785,25,27,26,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,375,40,11,14,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,531,30,15,15,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1212,15,13,28,Winter,Minimal Damage
Rabi,Alluvial,Herbicides,2267,30,48,5,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,312,30,16,2,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,1898,10,26,16,Monsoon,Minimal Damage
Rabi,Black-Cotton,Bactericides,984,30,44,0,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1132,40,19,21,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,789,60,17,18,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,1478,60,32,2,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,916,30,9,20,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,531,10,22,2,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1212,10,27,13,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,488,40,18,11,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,984,45,34,4,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1478,20,20,24,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,2138,5,17,31,Monsoon,Minimal Damage
Kharif,Alluvial,Bactericides,2016,40,42,0,Summer,Minimal Damage
Rabi,Alluvial,Bactericides,1785,60,49,0,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,2138,25,29,1,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2999,10,21,34,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,984,50,25,7,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2138,10,40,8,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,984,20,14,25,Monsoon,Minimal Damage
Kharif,Alluvial,Bactericides,732,40,29,0,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,790,50,25,7,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,732,20,23,15,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2015,40,18,20,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,188,10,16,7,Winter,Minimal Damage
Kharif,Alluvial,Bactericides,984,20,46,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1212,60,23,19,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,2840,20,12,26,Monsoon,Minimal Damage
Kharif,Black-Cotton,Bactericides,851,5,37,0,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,1385,10,16,27,Monsoon,Minimal Damage
Kharif,Alluvial,Bactericides,1296,20,36,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2015,40,50,6,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,851,20,20,6,Winter,Minimal Damage
Kharif,Black-Cotton,Bactericides,448,20,17,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,375,20,11,12,Winter,Minimal Damage
Kharif,Alluvial,Herbicides,916,20,22,13,Summer,Minimal Damage
Rabi,Black-Cotton,Bactericides,2688,25,60,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1678,30,20,20,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,1478,40,42,6,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,577,40,20,5,Summer,Minimal Damage
Rabi,Black-Cotton,Bactericides,168,10,14,0,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,1297,20,33,9,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,577,60,20,12,Monsoon,Minimal Damage
Rabi,Alluvial,Bactericides,1297,30,37,0,Winter,Minimal Damage
Kharif,Alluvial,Bactericides,915,40,41,0,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,851,40,14,22,Monsoon,Minimal Damage
Kharif,Black-Cotton,Bactericides,410,5,22,0,Summer,Minimal Damage
Rabi,Black-Cotton,Bactericides,188,10,17,0,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,1132,50,25,14,Winter,Minimal Damage
Rabi,Black-Cotton,Bactericides,410,25,22,0,Summer,Minimal Damage
Rabi,Black-Cotton,Bactericides,1478,50,43,0,Summer,Minimal Damage
Rabi,Black-Cotton,Bactericides,577,25,10,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2840,20,45,21,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,1212,5,34,9,Summer,Minimal Damage
